,주당순이익EPS(달러),주당순자산BPS(달러),주당배당금DPS(달러),주가수익배수PER(배),주가순자산배수PBR(배),주가매출액배수PSR(배),자기자본이익률ROE(%),총자산이익률ROA(%),투하자본이익률ROIC(%),부채비율(%),유동비율(%),이자보상배수(배)
21.12/31,4.90,30.62,0.00,192.30,35.16,19.72,21.00,9.70,21.00,101.20,137.50,18
21.09/30,3.09,27.11,0.00,221.38,28.38,16.39,14.30,6.40,14.50,108.50,138.50,8
21.06/30,1.92,25.55,0.00,300.22,26.40,15.64,10.10,4.20,10.40,116.50,150.80,6
21.03/31,1.00,23.95,0.00,560.91,27.85,17.84,6.40,2.40,7.10,123.90,166.10,3
20.12/31,0.64,23.82,0.00,927.75,30.10,21.21,5.00,1.70,5.80,127.90,187.50,3
20.09/30,0.52,17.11,0.00,718.98,24.94,14.19,5.30,1.40,4.80,175.60,163.50,3
20.06/30,0.41,10.62,0.00,543.93,20.31,7.79,4.60,1.00,3.80,271.50,125.00,2
20.03/31,-0.15,10.03,0.00,-659.88,10.36,3.65,-2.10,-0.40,2.10,289.10,124.30,1
19.12/31,-0.98,7.46,0.00,-87.47,11.39,3.07,-15.00,-2.70,-0.20,395.90,113.50,0
19.09/30,-0.95,6.73,0.00,-52.17,7.14,1.77,-15.50,-2.70,-0.20,419.10,107.80,0
19.06/30,-0.76,6.46,0.00,-58.91,6.79,1.56,-13.30,-2.20,0.40,432.60,106.20,0
19.03/31,-1.14,5.32,0.00,-49.91,10.50,2.14,-21.60,-3.30,-0.80,496.70,83.10,0
18.12/31,-1.14,5.77,0.00,-58.56,11.61,2.66,-21.90,-3.40,-0.90,475.90,83.10,-1
18.09/30,-2.14,5.27,0.00,-25.21,10.02,2.58,-41.90,-6.30,-4.10,519.20,81.00,-2
18.06/30,-3.23,4.60,0.00,-21.39,14.91,4.26,-62.90,-9.70,-7.90,579.60,73.30,-4
18.03/31,-2.79,5.26,0.00,-19.20,10.10,3.61,-50.60,-8.50,-6.90,484.20,73.80,-4
17.12/31,-2.37,5.11,0.00,-26.67,12.35,4.45,-41.20,-7.30,-5.80,543.30,85.60,-3
17.09/30,-1.70,5.63,0.00,-40.45,12.08,5.29,-28.80,-5.50,-4.10,465.40,109.30,-3
17.06/30,-0.93,6.18,0.00,-77.53,11.63,5.90,-17.50,-3.50,-2.10,381.10,97.10,-2
17.03/31,-0.94,6.15,0.00,-62.24,9.02,5.26,-19.40,-4.00,-2.80,378.60,112.50,-3
16.12/31,-0.94,6.59,0.00,-47.46,6.74,4.58,-24.70,-4.80,-4.10,352.40,107.40,-3
16.09/30,-1.31,3.60,0.00,-34.71,11.32,5.12,-48.20,-8.40,-8.90,369.40,126.70,-4
16.06/30,-1.69,3.60,0.00,-25.26,11.28,6.22,-76.50,-12.30,-13.30,369.50,138.20,-6
16.03/31,-1.56,1.46,0.00,-29.84,31.27,7.13,-99.60,-13.00,-13.30,842.80,101.60,-6
15.12/31,-1.39,1.69,0.00,-35.37,29.00,7.77,-90.20,-12.60,-12.90,640.10,99.00,-6
15.09/30,-1.06,2.04,0.00,-46.73,24.02,8.34,-71.70,-10.40,-10.50,470.60,117.40,-5
15.06/30,-0.83,1.13,0.00,-65.12,47.36,9.16,-61.10,-8.70,-8.60,796.40,110.20,-4
15.03/31,-0.64,1.31,0.00,-59.59,28.74,6.75,-43.70,-7.10,-6.70,634.40,133.30,-2
14.12/31,-0.47,1.46,0.00,-94.84,30.59,8.72,-31.50,-5.60,-5.20,533.10,150.90,-2
14.09/30,-0.33,1.53,0.00,-149.23,31.57,10.59,-23.20,-4.70,-4.10,461.00,182.80,-2
14.06/30,-0.27,1.53,0.00,-178.96,31.28,12.23,-21.50,-4.70,-5.00,423.80,218.40,-2
14.03/31,-0.22,1.48,0.00,-190.13,28.16,12.39,-19.50,-4.90,-5.40,385.80,223.30,-2
13.12/31,-0.12,1.12,0.00,-249.17,27.64,9.16,-14.60,-3.90,-3.50,262.30,187.50,-2
13.09/30,-0.27,0.93,0.00,-159.02,41.63,13.78,-39.70,-9.40,-12.80,270.20,104.20,-5
13.06/30,-0.42,1.07,0.00,-56.39,19.71,9.37,-98.30,-17.80,-21.70,199.90,232.20,-11
13.03/31,-0.57,0.29,0.00,-14.70,25.74,4.59,-360.30,-30.70,-37.80,578.50,98.20,"-1,017"
12.12/31,-0.74,0.23,0.00,-9.73,30.90,9.33,-506.50,-45.80,-54.20,793.50,97.30,"-1,552"
12.09/30,-0.74,-0.05,0.00,-7.96,N/A,21.10,-376.20,-50.70,-59.00,N/A,73.80,"-1,423"
12.06/30,-0.65,0.12,0.00,-9.63,52.92,21.40,-186.30,-46.40,-58.50,"1,148.70",110.70,"-1,773"
12.03/31,-0.57,0.29,0.00,-13.19,25.32,21.01,-115.80,-41.90,-60.50,394.60,152.30,"-2,712"
